TITLE;2 random variables, variable gain
FOCUS ON;Comparison by gain, distance type and variable type
EXPERIMENT TYPE;SingleAmongManyVaryingGain
RESULTS
PARTICULAR
parameters
normalization;Center
pcaRecompositionThreshold;0.95
component;;;;;;;;;1;2
type;;;;;;;;;RandomNormal;RandomNormal
p1;;;;;;;;;0;0
p2;;;;;;;;;1;1
distances;(RandomNormal, RandomNormal) (many)
distance;dDE;dDE/dP;dPCA;dPCA/dP;dDE/dPCA;weights ->
DE Euclidean(MinimumTimesMedian);0.0064746;1.1156;0.00458001814031648;0.78918;1.4137;0.81081;0.18919
DE Euclidean(MinimumTimesMedian);0.0064747;1.1156;0.00458001814031648;0.78918;1.4137;0.8108;0.1892
DE Euclidean(MinimumTimesMedian);0.0064747;1.1156;0.00458001814031648;0.78918;1.4137;0.8108;0.1892
DE Euclidean(MinimumTimesMedian);0.0064747;1.1156;0.00458001814031648;0.78918;1.4137;0.8108;0.1892
DE Euclidean(MinimumTimesMedian);0.0064747;1.1156;0.00458001814031648;0.78918;1.4137;0.8108;0.1892
weights;(RandomNormal, RandomWeibull)
gain;1;normalization;Center
component;;;;;;1;2
PCA;;;;;;0.35708;0.64292
distance;dDE;dDE/dP;dPCA;dPCA/dP;dDE/dPCA;weights ->
DE Euclidean(MinimumTimesMedian);0.011788;1.03;0.00922623199932659;0.80622;1.2776;0.52528;0.47472
DE Euclidean(MinimumTimesMedian);0.011788;1.03;0.00922623199932659;0.80622;1.2776;0.52528;0.47472
DE Euclidean(MinimumTimesMedian);0.011788;1.03;0.00922623199932659;0.80622;1.2776;0.52528;0.47472
DE Euclidean(MinimumTimesMedian);0.011788;1.03;0.00922623199932659;0.80622;1.2776;0.52528;0.47472
DE Euclidean(MinimumTimesMedian);0.011788;1.03;0.00922623199932659;0.80622;1.2776;0.52528;0.47472
weights;(RandomPearson, RandomNormal)
gain;1;normalization;Center
component;;;;;;1;2
PCA;;;;;;0.75178;0.24822
distance;dDE;dDE/dP;dPCA;dPCA/dP;dDE/dPCA;weights ->
DE Euclidean(MinimumTimesMedian);0.028426;1.2578;0.0116024475585958;0.51341;2.45;0.3829;0.6171
DE Euclidean(MinimumTimesMedian);0.028426;1.2579;0.0116024475585958;0.51341;2.45;0.3829;0.6171
DE Euclidean(MinimumTimesMedian);0.028426;1.2579;0.0116024475585958;0.51341;2.45;0.3829;0.6171
