TITLE;15 random variables, variable gain
FOCUS ON;Comparison by gain, distance type and variable type
EXPERIMENT TYPE;SingleAmongManyVaryingGain
RESULTS
PARTICULAR
parameters
normalization;Center
pcaRecompositionThreshold;0.95
component;;;;;;;;;1;2;3;4;5;6;7;8
type;;;;;;;;;RandomNormal;RandomNormal;RandomNormal;RandomNormal;RandomNormal;RandomNormal;RandomNormal;RandomNormal
p1;;;;;;;;;0;0;0;0;0;0;0;0
p2;;;;;;;;;1;1;1;1;1;1;1;1
distances;(RandomNormal, RandomNormal) (many)
gain;1;3;9;27;81
weights;(RandomNormal, RandomPearson)
gain;1;normalization;Center
component;;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15
PCA;;;;;;0.042646;0.042111;0.046298;0.034225;0.041855;0.034482;0.039721;0.060719;0.041187;0.22694;0.036247;0.052821;0.083073;0.076799;0.14088
distance;dDE;dDE/dP;dPCA;dPCA/dP;dDE/dPCA;weights ->
DE Euclidean(MinimumTimesMedian);0.13819;2.0717;0.0626690560148701;0.93955;2.205;9.065E-07;6.4808E-06;0.097324;7.1294E-06;0.12852;0.15219;0.089908;0.15388;0.11663;0.14537;0.048013;2.5125E-06;2.981E-07;5.6064E-08;0.068151
DE Euclidean(MinimumTimesMedian);0.14267;2.139;0.0626690560148701;0.93955;2.2766;2.7418E-09;6.7553E-10;0.15625;0.14122;0.1721;0.18005;0.16552;4.295E-09;1.179E-08;1.2113E-11;3.5194E-10;1.5121E-09;0.049446;7.1857E-09;0.13541
DE Euclidean(MinimumTimesMedian);0.14858;2.2276;0.0626690560148701;0.93955;2.3709;4.2991E-08;2.7504E-09;0.20224;2.0195E-08;0.14767;2.848E-07;7.8909E-10;5.9831E-10;0.14135;0.10674;0.062408;0.05318;0.15788;0.12854;8.7579E-12
DE Euclidean(MinimumTimesMedian);0.15138;2.2695;0.0626690560148701;0.93955;2.4155;1.622E-06;0.18887;0.039255;1.1649E-06;0.13381;3.0135E-07;5.1541E-07;1.7427E-07;0.12813;0.13956;0.056149;1.9434E-08;2.9558E-07;0.11488;0.19934
DE Euclidean(MinimumTimesMedian);0.15153;2.2718;0.0626690560148701;0.93955;2.418;1.9153E-07;5.6083E-06;0.14957;5.6761E-08;0.18738;2.0612E-08;1.4994E-06;0.038598;0.19122;0.11395;7.7692E-08;3.4353E-06;0.15161;4.7902E-08;0.16766
weights;(RandomNormal, RandomUniform)
gain;1;normalization;Center
component;;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15
PCA;;;;;;0.14766;0.13265;0.12715;0.15626;0.095205;0.13611;0.13612;0.012534;0.0054014;0.0070492;0.011215;0.0097139;0.012316;0.0040661;0.0065494
distance;dDE;dDE/dP;dPCA;dPCA/dP;dDE/dPCA;weights ->
DE Euclidean(MinimumTimesMedian);0.095359;4.4333;0.050800729586524;2.3618;1.8771;0.2464;0.16225;0.11207;0.23553;4.8776E-13;0.24376;3.3302E-10;3.5235E-11;8.9236E-10;7.7441E-09;3.3255E-09;7.9398E-10;2.8558E-10;1.0319E-08;3.037E-09
