TITLE;Differential evolution variants;;;;;;;;;
FOCUS ON;;;;;;;;;;
EXPERIMENT TYPE;DEVariants;;;;;;;;;
PARAMETERS;;;;;;;;;;
normalization;Center;;;;;;;;;
pcaRecompositionThreshold;0.95;;;;;;;;;
component;1;2;3;4;5;6;7;8;;
type;RandomNormal;RandomUniform;RandomNormal;RandomNormal;RandomNormal;RandomUniform;RandomWeibull;RandomWeibull;;
p1;0;0;0;0;0;0;0;0;;
p2;15;10;10;10;10;5;0.2;5;;
RESULTS;;;;;;;;;;
COMMON;;;;;;;;;;
distance;;;;;;;;;;
which;A;T;C;;;;;;;
plain;12.339;1.0304;1.6555;;;;;;;
PCA;232.56;0.0088295;6.9217;;;;;;;
PCA;;;;;;;;;;
weights;0.000036201;1.7316E-006;0.000041148;0.000033372;0.000025605;1.9338E-007;0.081678;0.000000006;3.262E-008;
differential evolutions parameters, by distance type;;;;;;;;;;
i;dDE / dP;distance;type;parentWeight;crossover;population;iterations;distance;;
30141;3.3569;3.4591;4;0.85;1;100;10;T;0.00091166;
27744;2.766;2.8502;3;0.5;1;10;125;T;0.00091649;
25872;3.1254;3.2205;2;0.85;0.25;10;10;T;0.00093595;
34964;7.8796;8.1193;6;1.5;0.25;125;50;T;0.00093858;
34022;3.9059;4.0247;6;0.85;1;30;30;T;0.00094439;
32070;4.9176;5.0672;5;0.85;1;30;100;T;0.00095078;
29700;2.9886;3.0795;4;0.5;1;10;75;T;0.00095583;
25012;4.4574;4.593;1;1.2;1;30;75;T;0.0009671;
24999;3.5379;3.6455;1;1.2;1;10;125;T;0.00097144;
27832;3.9693;4.0901;3;0.85;0.25;10;10;T;0.00097607;
33291;2.6803;2.7618;5;1.5;1;125;10;T;0.0009858;
32622;6.0076;6.1903;5;1.2;0.25;150;30;T;0.00098619;
32125;4.5325;4.6704;5;0.85;1;125;100;T;0.00098693;
33625;2.5053;2.5815;6;0.5;1;10;150;T;0.00099538;
27645;4.0073;4.1292;3;0.5;0.75;10;125;T;0.00099655;
32214;3.6612;3.7726;5;1;0.25;125;10;T;0.0010027;
29712;2.9393;3.0287;4;0.5;1;30;30;T;0.001017;
23617;2.692;2.7739;1;0.5;0.5;10;10;T;0.001025;
32496;3.5351;3.6426;5;1;1;100;30;T;0.0010509;
25003;2.9678;3.0581;1;1.2;1;30;10;T;0.0010539;
26649;3.6607;3.7721;2;1;1;150;75;T;0.0010596;
25014;6.342;6.535;1;1.2;1;30;100;T;0.0010625;
32748;6.9853;7.1978;5;1.2;0.75;30;30;T;0.0010657;
24227;3.5375;3.6451;1;0.85;1;30;75;T;0.0010668;
25022;4.6487;4.7902;1;1.2;1;30;150;T;0.0010689;
28528;3.1477;3.2435;3;1;1;10;125;T;0.0010718;
