TITLE;Differential evolution variants;;;;;;;;;
FOCUS ON;;;;;;;;;;
EXPERIMENT TYPE;DEVariants;;;;;;;;;
PARAMETERS;;;;;;;;;;
normalization;Center;;;;;;;;;
pcaRecompositionThreshold;0.95;;;;;;;;;
component;1;2;3;4;5;6;7;8;;
type;RandomNormal;RandomUniform;RandomNormal;RandomNormal;RandomNormal;RandomUniform;RandomWeibull;RandomWeibull;;
p1;0;0;0;0;0;0;0;0;;
p2;15;10;10;10;10;5;0.2;5;;
RESULTS;;;;;;;;;;
COMMON;;;;;;;;;;
distance;;;;;;;;;;
which;A;T;C;;;;;;;
plain;12.339;1.0304;1.6555;;;;;;;
PCA;232.56;0.0088295;6.9217;;;;;;;
PCA;;;;;;;;;;
weights;0.000036201;1.7316E-006;0.000041148;0.000033372;0.000025605;1.9338E-007;0.081678;0.000000006;3.262E-008;
differential evolutions parameters, by distance type;;;;;;;;;;
i;dDE / dP;distance;type;parentWeight;crossover;population;iterations;distance;;
23776;7.7096;7.9441;1;0.5;0.75;100;30;T;0.014546;
24711;3.7158;3.8289;1;1;1;150;150;T;0.01456;
24006;15.666;16.143;1;0.85;0.25;150;100;T;0.014576;
24984;11.665;12.02;1;1.2;0.75;150;75;T;0.014577;
28678;16.712;17.221;3;1.2;0.25;100;50;T;0.01458;
31829;14.331;14.767;5;0.85;0.25;125;75;T;0.014583;
30651;10.498;10.818;4;1.2;0.25;125;50;T;0.014601;
16010;2.0801;3.4436;3;0.5;1;50;75;C;0.01461;
23875;2.5653;2.6433;1;0.5;1;100;50;T;0.014623;
24947;3.6028;3.7124;1;1.2;0.75;100;10;T;0.014649;
30966;9.0642;9.34;4;1.2;1;150;125;T;0.014651;
34086;6.9725;7.1847;6;0.85;1;125;100;T;0.014681;
34908;6.8269;7.0346;6;1.5;0.25;30;50;T;0.014685;
23631;2.8052;2.8905;1;0.5;0.5;30;10;T;0.014686;
24059;14.014;14.44;1;0.85;0.5;75;75;T;0.014692;
29937;12.074;12.441;4;0.85;0.5;75;50;T;0.014708;
34655;8.276;8.5278;6;1.2;0.5;100;50;T;0.01477;
33396;8.988;9.2615;6;0.5;0.25;125;50;T;0.014773;
29590;14.225;14.658;4;0.5;0.5;150;75;T;0.014778;
34592;14.633;15.078;6;1.2;0.25;150;125;T;0.014796;
23987;10.83;11.159;1;0.85;0.25;125;50;T;0.014813;
23688;3.4299;3.5342;1;0.5;0.5;125;10;T;0.014819;
30285;9.4513;9.7388;4;1;0.5;10;50;T;0.014828;
33307;4.3073;4.4384;5;1.5;1;150;30;T;0.014848;
30380;3.2914;3.3916;4;1;0.75;10;10;T;0.014873;
33358;13.165;13.566;6;0.5;0.25;50;100;T;0.014882;
24758;8.9768;9.2499;1;1.2;0.25;100;50;T;0.014884;
27114;14.416;14.855;2;1.5;0.25;100;100;T;0.014889;
25195;15.445;15.915;1;1.5;0.5;10;125;T;0.014891;
30499;4.7954;4.9413;4;1;1;30;75;T;0.014899;
30735;12.161;12.531;4;1.2;0.5;100;50;T;0.014908;
34550;15.425;15.894;6;1.2;0.25;75;125;T;0.01491;
33355;10.034;10.339;6;0.5;0.25;50;75;T;0.014916;
33588;5.5142;5.6819;6;0.5;0.75;125;30;T;0.014923;
32415;11.212;11.553;5;1;0.75;125;50;T;0.014937;
33592;7.6002;7.8314;6;0.5;0.75;125;50;T;0.014949;
24171;13.942;14.366;1;0.85;0.75;100;75;T;0.014952;
33834;14.438;14.878;6;0.85;0.5;30;100;T;0.014952;
35130;4.9854;5.1371;6;1.5;0.75;75;30;T;0.014955;
32778;7.5086;7.7371;5;1.2;0.75;75;30;T;0.014961;
29024;8.6914;8.9559;3;1.5;0.25;30;30;T;0.014962;
31519;11.377;11.723;5;0.5;0.5;100;50;T;0.014968;
34373;5.747;5.9218;6;1;0.75;125;30;T;0.014969;
33941;7.5779;7.8085;6;0.85;0.75;50;50;T;0.014986;
26335;9.8095;10.108;2;1;0.25;125;30;T;0.015011;
30288;11.931;12.294;4;1;0.5;10;75;T;0.015016;
29109;9.6994;9.9946;3;1.5;0.5;10;50;T;0.015017;
35079;10.971;11.305;6;1.5;0.5;150;100;T;0.015029;
33398;10.925;11.258;6;0.5;0.25;125;75;T;0.015047;
23853;3.2424;3.341;1;0.5;1;50;125;T;0.01506;
25666;6.9974;7.2103;2;0.5;0.5;150;30;T;0.01506;
31965;6.553;6.7524;5;0.85;0.75;30;30;T;0.015062;
34605;14.645;15.09;6;1.2;0.5;10;150;T;0.015086;
31370;14.471;14.912;5;0.5;0.25;10;125;T;0.015094;
30911;2.8661;2.9533;4;1.2;1;75;10;T;0.015096;
28188;4.599;4.7389;3;0.85;1;100;50;T;0.015103;
31759;13.572;13.985;5;0.85;0.25;10;100;T;0.015115;
31233;4.788;4.9337;4;1.5;0.75;125;10;T;0.01513;
28649;16.652;17.158;3;1.2;0.25;50;50;T;0.015143;
25701;4.6912;4.8339;2;0.5;0.75;30;125;T;0.015144;
29868;9.9362;10.239;4;0.85;0.25;125;50;T;0.015145;
30720;6.8791;7.0884;4;1.2;0.5;75;30;T;0.015146;
31222;6.6095;6.8106;4;1.5;0.75;100;30;T;0.015146;
28615;3.4523;3.5574;3;1.2;0.25;10;10;T;0.015149;
31089;16.206;16.7;4;1.5;0.5;30;100;T;0.015151;
33688;3.0992;3.1935;6;0.5;1;125;30;T;0.015155;
34798;3.4944;3.6008;6;1.2;1;10;100;T;0.015175;
27038;9.0334;9.3083;2;1.2;1;150;30;T;0.015181;
24809;6.8519;7.0604;1;1.2;0.5;30;30;T;0.015188;
27495;4.2224;4.3509;3;0.5;0.25;100;10;T;0.015208;
32491;7.9613;8.2036;5;1;1;75;125;T;0.015213;
23948;13.063;13.46;1;0.85;0.25;50;75;T;0.01523;
26840;8.9235;9.195;2;1.2;0.5;150;30;T;0.01523;
30328;8.1765;8.4253;4;1;0.5;75;30;T;0.015247;
34587;10.955;11.288;6;1.2;0.25;150;75;T;0.01525;
29533;13.604;14.018;4;0.5;0.5;50;75;T;0.015265;
30575;3.0127;3.1044;4;1.2;0.25;10;10;T;0.015266;
33619;2.6856;2.7673;6;0.5;1;10;75;T;0.015273;
25882;14.159;14.59;2;0.85;0.25;10;125;T;0.015279;
29525;2.689;2.7708;4;0.5;0.5;50;10;T;0.015297;
27793;2.6343;2.7144;3;0.5;1;100;30;T;0.015311;
33987;13.108;13.507;6;0.85;0.75;125;100;T;0.015317;
34824;4.0672;4.191;6;1.2;1;50;50;T;0.015324;
23614;16.157;16.648;1;0.5;0.25;150;100;T;0.015341;
35153;3.1633;3.2595;6;1.5;0.75;125;10;T;0.015351;
25089;4.5256;4.6633;1;1.5;0.25;10;30;T;0.015356;
31336;3.9285;4.048;4;1.5;1;125;30;T;0.015378;
31264;3.4037;3.5073;4;1.5;1;10;30;T;0.015388;
32783;15.773;16.253;5;1.2;0.75;75;100;T;0.015419;
31666;2.3439;2.4152;5;0.5;1;10;150;T;0.015432;
30715;3.277;3.3767;4;1.2;0.5;75;10;T;0.015437;
23537;5.7439;5.9187;1;0.5;0.25;30;30;T;0.015438;
33197;7.6668;7.9;5;1.5;0.75;125;30;T;0.015448;
35006;16.026;16.514;6;1.5;0.25;150;150;T;0.015448;
25436;10.394;10.71;1;1.5;1;75;125;T;0.015485;
23934;12.693;13.079;1;0.85;0.25;30;75;T;0.015501;
16381;2.3109;3.8258;3;0.85;1;30;30;C;0.015512;
33166;3.5949;3.7043;5;1.5;0.75;75;10;T;0.015534;
30511;5.5439;5.7126;4;1;1;50;50;T;0.015539;
33644;2.7053;2.7877;6;0.5;1;30;150;T;0.01555;
32685;17.725;18.265;5;1.2;0.5;75;100;T;0.015552;
34196;11.872;12.233;6;1;0.25;150;75;T;0.015554;
35256;9.4932;9.7821;6;1.5;1;100;150;T;0.015572;
30481;2.6062;2.6855;4;1;1;10;50;T;0.015586;
27730;7.4957;7.7238;3;0.5;0.75;150;100;T;0.015621;
27120;6.4051;6.5999;2;1.5;0.25;125;30;T;0.015623;
30225;3.6615;3.7729;4;1;0.25;75;10;T;0.015624;
24382;15.172;15.634;1;1;0.25;125;75;T;0.015634;
35033;8.0994;8.3459;6;1.5;0.5;75;50;T;0.015635;
31957;15.374;15.842;5;0.85;0.75;10;125;T;0.015654;
31884;11.295;11.639;5;0.85;0.5;50;50;T;0.015655;
32465;3.579;3.6879;5;1;1;50;10;T;0.015668;
28378;5.5521;5.7211;3;1;0.5;100;10;T;0.015671;
33706;4.5576;4.6963;6;0.5;1;150;75;T;0.015679;
34286;3.2364;3.3349;6;1;0.5;150;10;T;0.015692;
25695;4.5637;4.7026;2;0.5;0.75;30;50;T;0.015694;
32201;6.6354;6.8373;5;1;0.25;100;30;T;0.0157;
23668;13.705;14.122;1;0.5;0.5;75;75;T;0.015702;
28569;3.2695;3.369;3;1;1;75;100;T;0.015707;
32061;3.5774;3.6862;5;0.85;1;30;30;T;0.015714;
32374;11.068;11.405;5;1;0.75;50;50;T;0.015727;
31782;6.7888;6.9954;5;0.85;0.25;50;30;T;0.015744;
23544;14.262;14.696;1;0.5;0.25;30;100;T;0.015746;
33509;12.925;13.318;6;0.5;0.5;150;75;T;0.015747;
33845;10.365;10.681;6;0.85;0.5;50;75;T;0.01576;
24518;8.4021;8.6577;1;1;0.75;30;30;T;0.015761;
33643;3.7588;3.8732;6;0.5;1;30;150;T;0.015761;
31100;9.8109;10.109;4;1.5;0.5;50;50;T;0.015808;
31273;3.6522;3.7633;4;1.5;1;10;150;T;0.015838;
30693;10.958;11.292;4;1.2;0.5;30;50;T;0.015845;
25640;8.0579;8.3031;2;0.5;0.5;100;50;T;0.015848;
31491;9.4686;9.7567;5;0.5;0.5;50;50;T;0.015855;
31760;11.516;11.867;5;0.85;0.25;10;100;T;0.015857;
25050;7.6351;7.8674;1;1.2;1;75;150;T;0.015882;
26393;10.106;10.414;2;1;0.5;50;30;T;0.015886;
34617;11.201;11.542;6;1.2;0.5;30;100;T;0.015921;
32929;4.3438;4.4759;5;1.5;0.25;10;30;T;0.015957;
31045;14.071;14.499;4;1.5;0.25;125;75;T;0.015968;
25070;7.6443;7.8769;1;1.2;1;125;100;T;0.015971;
31474;5.0339;5.1871;5;0.5;0.5;30;30;T;0.01598;
31664;2.5503;2.6279;5;0.5;1;10;125;T;0.015982;
29642;6.2513;6.4415;4;0.5;0.75;75;30;T;0.015999;
34788;13.682;14.099;6;1.2;0.75;150;125;T;0.015999;
29632;13.496;13.906;4;0.5;0.75;50;75;T;0.016008;
33517;4.716;4.8595;6;0.5;0.75;10;30;T;0.016014;
27019;5.7537;5.9288;2;1.2;1;125;10;T;0.016024;
28338;12.776;13.165;3;1;0.5;30;30;T;0.016032;
24153;7.828;8.0661;1;0.85;0.75;75;30;T;0.016061;
24548;11.908;12.27;1;1;0.75;75;50;T;0.016061;
30398;10.841;11.171;4;1;0.75;30;50;T;0.016062;
31382;11.722;12.079;5;0.5;0.25;30;75;T;0.016063;
28138;4.4094;4.5436;3;0.85;1;10;150;T;0.016064;
25368;3.5904;3.6997;1;1.5;0.75;150;10;T;0.016077;
26321;9.9524;10.255;2;1;0.25;100;30;T;0.016096;
33049;16.06;16.548;5;1.5;0.5;30;100;T;0.016101;
24129;14.827;15.278;1;0.85;0.75;30;75;T;0.016114;
34668;16.178;16.67;6;1.2;0.5;100;150;T;0.016114;
31566;5.9895;6.1717;5;0.5;0.75;10;125;T;0.016127;
25745;4.5402;4.6784;2;0.5;0.75;125;10;T;0.016141;
29273;7.331;7.5541;3;1.5;0.75;125;10;T;0.016147;
26884;10.982;11.316;2;1.2;0.75;50;30;T;0.016161;
33008;16.291;16.786;5;1.5;0.25;125;100;T;0.016161;
34210;10.11;10.418;6;1;0.5;10;100;T;0.016164;
33187;13.475;13.885;5;1.5;0.75;100;75;T;0.016167;
33901;10.564;10.886;6;0.85;0.5;150;75;T;0.0162;
30961;7.8658;8.1051;4;1.2;1;150;75;T;0.016201;
32317;11.164;11.504;5;1;0.5;125;50;T;0.016211;
27293;14.889;15.342;2;1.5;0.75;75;75;T;0.016239;
25500;6.7558;6.9614;2;0.5;0.25;30;50;T;0.016251;
32301;8.1223;8.3694;5;1;0.5;100;30;T;0.01627;
30711;16.657;17.164;4;1.2;0.5;50;100;T;0.016274;
24883;11.197;11.538;1;1.2;0.5;150;50;T;0.016321;
25468;4.4686;4.6046;1;1.5;1;150;30;T;0.016328;
29232;6.496;6.6936;3;1.5;0.75;50;10;T;0.01634;
26652;3.8338;3.9505;2;1;1;150;100;T;0.016342;
30620;5.9547;6.1359;4;1.2;0.25;75;30;T;0.016344;
32823;14.074;14.502;5;1.2;0.75;150;75;T;0.016349;
30581;9.9835;10.287;4;1.2;0.25;10;75;T;0.01637;
33421;4.9482;5.0987;6;0.5;0.5;10;50;T;0.016371;
33595;13.608;14.022;6;0.5;0.75;125;100;T;0.016381;
31786;9.3467;9.6311;5;0.85;0.25;50;50;T;0.016385;
25511;8.9973;9.271;2;0.5;0.25;30;150;T;0.016386;
31799;9.7361;10.032;5;0.85;0.25;75;50;T;0.016389;
24081;7.2432;7.4635;1;0.85;0.5;125;30;T;0.016395;
24517;6.4837;6.6809;1;1;0.75;30;30;T;0.016395;
29581;3.1903;3.2874;4;0.5;0.5;150;10;T;0.016399;
31787;13.734;14.152;5;0.85;0.25;50;75;T;0.016408;
32038;9.251;9.5325;5;0.85;0.75;150;50;T;0.016409;
26601;2.944;3.0335;2;1;1;50;150;T;0.016413;
34983;13.295;13.7;6;1.5;0.25;150;125;T;0.016413;
32547;15.806;16.287;5;1.2;0.25;10;150;T;0.016414;
33888;11.918;12.281;6;0.85;0.5;125;75;T;0.016418;
26999;7.7028;7.9372;2;1.2;1;75;75;T;0.016433;
26670;3.151;3.2469;2;1.2;0.25;30;10;T;0.016434;
31951;5.6918;5.8649;5;0.85;0.75;10;50;T;0.016434;
31745;4.3635;4.4962;5;0.5;1;150;75;T;0.016447;
33410;8.4996;8.7582;6;0.5;0.25;150;50;T;0.016447;
24968;9.5927;9.8845;1;1.2;0.75;125;50;T;0.016448;
34167;11.165;11.504;6;1;0.25;100;75;T;0.016448;
27049;4.9909;5.1427;2;1.5;0.25;10;30;T;0.016458;
32367;3.4887;3.5948;5;1;0.75;50;10;T;0.016462;
28882;7.2415;7.4618;3;1.2;0.75;125;10;T;0.016468;
27022;7.3837;7.6083;2;1.2;1;125;30;T;0.016489;
29364;4.6121;4.7524;3;1.5;1;100;50;T;0.016504;
30122;4.6732;4.8153;4;0.85;1;50;75;T;0.016525;
30722;9.4657;9.7537;4;1.2;0.5;75;50;T;0.016527;
31023;3.3064;3.407;4;1.5;0.25;100;10;T;0.016538;
31000;5.6942;5.8675;4;1.5;0.25;50;30;T;0.016546;
33691;5.1264;5.2824;6;0.5;1;125;75;T;0.016548;
31628;7.4073;7.6327;5;0.5;0.75;125;30;T;0.016555;
25137;12.591;12.974;1;1.5;0.25;75;75;T;0.016557;
26813;9.0824;9.3587;2;1.2;0.5;100;30;T;0.016604;
32010;11.525;11.876;5;0.85;0.75;100;50;T;0.016608;
17184;5.2711;8.7265;3;1.2;1;50;50;C;0.016626;
32668;11.362;11.707;5;1.2;0.5;50;50;T;0.016644;
24955;12.863;13.254;1;1.2;0.75;100;75;T;0.016646;
31702;4.4003;4.5342;5;0.5;1;75;50;T;0.016663;
24951;6.0353;6.219;1;1.2;0.75;100;30;T;0.016685;
27188;3.9261;4.0456;2;1.5;0.5;75;10;T;0.016686;
25851;4.0906;4.215;2;0.5;1;125;75;T;0.016724;
29871;17.527;18.06;4;0.85;0.25;125;100;T;0.016729;
32017;3.6131;3.723;5;0.85;0.75;125;10;T;0.01673;
24713;6.2339;6.4235;1;1.2;0.25;30;30;T;0.016733;
31099;10.664;10.989;4;1.5;0.5;50;50;T;0.016766;
34228;16.643;17.149;6;1;0.5;30;125;T;0.016775;
35080;13.581;13.995;6;1.5;0.5;150;100;T;0.016776;
33606;7.4272;7.6532;6;0.5;0.75;150;50;T;0.016796;
23835;2.3435;2.4148;1;0.5;1;30;75;T;0.016809;
34897;13.064;13.461;6;1.5;0.25;10;125;T;0.01682;
32815;3.2357;3.3341;5;1.2;0.75;150;10;T;0.016822;
27781;3.901;4.0197;3;0.5;1;75;50;T;0.016824;
30058;3.7143;3.8273;4;0.85;0.75;125;10;T;0.016824;
24636;5.4988;5.6661;1;1;1;50;100;T;0.016841;
17200;3.9522;6.5431;3;1.2;1;75;75;C;0.016843;
27846;3.4501;3.5551;3;0.85;0.25;30;10;T;0.016852;
26954;3.5346;3.6421;2;1.2;1;10;50;T;0.016854;
31140;8.9106;9.1818;4;1.5;0.5;125;30;T;0.01687;
35064;9.1787;9.458;6;1.5;0.5;125;75;T;0.016872;
27835;10.768;11.095;3;0.85;0.25;10;50;T;0.016882;
34229;2.779;2.8635;6;1;0.5;50;10;T;0.01691;
30052;14.754;15.203;4;0.85;0.75;100;75;T;0.016914;
34238;13.969;14.394;6;1;0.5;50;75;T;0.016914;
31410;12.615;12.998;5;0.5;0.25;75;75;T;0.016943;
24199;13.947;14.371;1;0.85;0.75;150;75;T;0.016957;
34155;14.772;15.221;6;1;0.25;75;100;T;0.016965;
30078;10.625;10.949;4;0.85;0.75;150;50;T;0.016967;
23843;2.209;2.2762;1;0.5;1;30;150;T;0.016972;
33467;12.891;13.283;6;0.5;0.5;75;75;T;0.016979;
34350;11.752;12.109;6;1;0.75;75;75;T;0.016984;
32768;12.614;12.998;5;1.2;0.75;50;75;T;0.016989;
24938;6.8808;7.0901;1;1.2;0.75;75;30;T;0.017001;
34716;10.932;11.265;6;1.2;0.75;30;100;T;0.017005;
26295;9.9139;10.215;2;1;0.25;50;30;T;0.017013;
25503;8.8573;9.1268;2;0.5;0.25;30;100;T;0.017025;
33239;4.6736;4.8158;5;1.5;1;30;30;T;0.017037;
26171;2.5247;2.6015;2;0.85;1;10;75;T;0.01704;
24324;7.6776;7.9112;1;1;0.25;30;50;T;0.017045;
30681;11.724;12.08;4;1.2;0.5;10;100;T;0.017048;
25789;8.2637;8.5151;2;0.5;0.75;150;150;T;0.017066;
24657;4.4288;4.5635;1;1;1;100;30;T;0.017081;
27607;6.9952;7.2081;3;0.5;0.5;125;10;T;0.017097;
24872;13.383;13.79;1;1.2;0.5;125;75;T;0.017099;
33479;7.7191;7.954;6;0.5;0.5;100;50;T;0.017103;
24094;3.211;3.3087;1;0.85;0.5;150;10;T;0.017108;
16845;4.3297;7.168;3;1;1;150;30;C;0.01711;
26500;10.531;10.852;2;1;0.75;50;125;T;0.017128;
23528;8.8615;9.1311;1;0.5;0.25;10;75;T;0.017138;
25025;5.7175;5.8915;1;1.2;1;50;75;T;0.017159;
29576;14.187;14.618;4;0.5;0.5;125;75;T;0.017178;
35270;7.9371;8.1786;6;1.5;1;125;150;T;0.017182;
23589;2.9547;3.0446;1;0.5;0.25;125;10;T;0.017199;
34777;5.222;5.3809;6;1.2;0.75;150;30;T;0.017212;
34724;15.107;15.567;6;1.2;0.75;30;150;T;0.017215;
30197;3.0359;3.1282;4;1;0.25;30;10;T;0.017226;
32870;5.0245;5.1774;5;1.2;1;50;125;T;0.017238;
31307;3.9364;4.0562;4;1.5;1;75;30;T;0.01724;
29531;10.859;11.189;4;0.5;0.5;50;50;T;0.017266;
31486;3.2537;3.3527;5;0.5;0.5;50;10;T;0.017266;
32300;8.8688;9.1387;5;1;0.5;100;30;T;0.017277;
34104;3.1389;3.2344;6;1;0.25;10;10;T;0.017286;
24058;10.455;10.773;1;0.85;0.5;75;50;T;0.017303;
32468;3.005;3.0965;5;1;1;50;30;T;0.017307;
33743;5.8206;5.9977;6;0.85;0.25;50;30;T;0.017316;
28364;7.079;7.2943;3;1;0.5;75;10;T;0.017332;
30253;3.419;3.5231;4;1;0.25;125;10;T;0.017334;
26761;15.534;16.006;2;1.2;0.5;10;100;T;0.017356;
29891;5.0162;5.1688;4;0.85;0.5;10;30;T;0.017376;
25284;3.5571;3.6654;1;1.5;0.75;10;10;T;0.017396;
26767;4.5424;4.6806;2;1.2;0.5;30;10;T;0.017397;
30828;3.4966;3.603;4;1.2;0.75;100;10;T;0.017401;
28341;15.792;16.273;3;1;0.5;30;50;T;0.017403;
16671;4.2309;7.0044;3;1;0.75;30;10;C;0.017411;
29386;3.4393;3.544;3;1.5;1;150;10;T;0.017413;
34663;3.5713;3.6799;6;1.2;0.5;125;10;T;0.017417;
31774;11.911;12.273;5;0.85;0.25;30;75;T;0.017419;
25158;3.3055;3.406;1;1.5;0.25;125;10;T;0.017425;
13898;6.8951;11.415;2;0.5;0.5;125;100;C;0.017438;
35237;2.8862;2.9741;6;1.5;1;100;10;T;0.017441;
26384;15.453;15.923;2;1;0.5;30;75;T;0.017444;
30198;2.8406;2.9271;4;1;0.25;30;10;T;0.017447;
32175;5.3859;5.5497;5;1;0.25;50;30;T;0.017469;
25854;3.8402;3.9571;2;0.5;1;125;100;T;0.01747;
30441;13.177;13.578;4;1;0.75;100;50;T;0.017492;
27248;6.1898;6.3782;2;1.5;0.75;10;50;T;0.017542;
24914;12.376;12.752;1;1.2;0.75;30;75;T;0.017545;
30242;6.1588;6.3462;4;1;0.25;100;30;T;0.017548;
29559;10.562;10.883;4;0.5;0.5;100;50;T;0.017561;
25603;6.3649;6.5586;2;0.5;0.5;30;125;T;0.017567;
33761;10.454;10.772;6;0.85;0.25;75;75;T;0.01757;
31926;11.695;12.051;5;0.85;0.5;125;50;T;0.017577;
35068;11.607;11.96;6;1.5;0.5;125;125;T;0.017583;
34543;7.1724;7.3906;6;1.2;0.25;75;50;T;0.017586;
32120;4.6489;4.7903;5;0.85;1;125;30;T;0.017598;
33496;11.983;12.347;6;0.5;0.5;125;75;T;0.017601;
32934;9.3582;9.6429;5;1.5;0.25;10;75;T;0.017608;
33336;5.3019;5.4632;6;0.5;0.25;30;30;T;0.017624;
29359;4.7211;4.8648;3;1.5;1;75;150;T;0.01763;
34285;3.7538;3.868;6;1;0.5;150;10;T;0.017633;
28530;2.9945;3.0856;3;1;1;10;150;T;0.017636;
33303;8.999;9.2728;5;1.5;1;125;125;T;0.017656;
29411;14.638;15.084;4;0.5;0.25;10;150;T;0.01766;
25223;14.024;14.45;1;1.5;0.5;50;100;T;0.017674;
31103;15.536;16.008;4;1.5;0.5;50;100;T;0.017693;
34524;2.8557;2.9426;6;1.2;0.25;50;10;T;0.017702;
26963;3.0797;3.1734;2;1.2;1;30;10;T;0.017709;
25885;3.1683;3.2647;2;0.85;0.25;30;10;T;0.017713;
31198;10.221;10.532;4;1.5;0.75;50;50;T;0.017724;
25873;4.1023;4.2271;2;0.85;0.25;10;30;T;0.017747;
24271;4.1706;4.2975;1;0.85;1;100;100;T;0.017762;
26375;4.1549;4.2813;2;1;0.5;30;10;T;0.017768;
33896;6.3468;6.5399;6;0.85;0.5;150;30;T;0.017782;
25220;10.605;10.927;1;1.5;0.5;50;50;T;0.017802;
26704;9.694;9.989;2;1.2;0.25;75;50;T;0.017808;
31634;13.674;14.09;5;0.5;0.75;125;75;T;0.017821;
31297;7.1203;7.337;4;1.5;1;50;75;T;0.017834;
25702;2.721;2.8037;2;0.5;0.75;30;125;T;0.017843;
31800;9.239;9.5201;5;0.85;0.25;75;50;T;0.017845;
32598;9.3738;9.659;5;1.2;0.25;100;50;T;0.017847;
27004;9.7531;10.05;2;1.2;1;75;125;T;0.017852;
24387;3.3256;3.4268;1;1;0.25;150;10;T;0.017855;
31356;7.928;8.1692;4;1.5;1;150;100;T;0.017871;
29809;7.0259;7.2397;4;0.85;0.25;30;30;T;0.017873;
34574;10.543;10.863;6;1.2;0.25;125;75;T;0.017873;
29718;2.5481;2.6256;4;0.5;1;30;100;T;0.017877;
33413;13.655;14.07;6;0.5;0.25;150;100;T;0.01789;
24684;4.5321;4.67;1;1;1;150;30;T;0.017898;
25620;3.4039;3.5075;2;0.5;0.5;75;10;T;0.017978;
25262;9.7637;10.061;1;1.5;0.5;125;50;T;0.017996;
24183;9.3833;9.6687;1;0.85;0.75;125;50;T;0.01801;
35201;4.0677;4.1915;6;1.5;1;30;50;T;0.018012;
30732;6.5162;6.7145;4;1.2;0.5;100;30;T;0.018033;
16824;2.9298;4.8504;3;1;1;100;100;C;0.01805;
30931;4.2349;4.3638;4;1.2;1;100;50;T;0.018099;
24403;8.286;8.5381;1;1;0.5;10;30;T;0.018107;
33553;12.727;13.115;6;0.5;0.75;50;100;T;0.018108;
34834;3.8422;3.9591;6;1.2;1;75;30;T;0.018126;
34949;7.824;8.0621;6;1.5;0.25;100;50;T;0.018132;
30958;7.0629;7.2778;4;1.2;1;125;150;T;0.018188;
30030;3.2443;3.343;4;0.85;0.75;75;10;T;0.018193;
29699;3.2907;3.3908;4;0.5;1;10;75;T;0.018203;
29877;6.5373;6.7362;4;0.85;0.25;150;30;T;0.018218;
32470;3.3595;3.4617;5;1;1;50;30;T;0.01822;
27083;10.785;11.113;2;1.5;0.25;50;75;T;0.018223;
27866;14.649;15.095;3;0.85;0.25;50;50;T;0.018237;
29064;4.4684;4.6044;3;1.5;0.25;100;10;T;0.018253;
30861;10.214;10.524;4;1.2;0.75;150;50;T;0.01827;
28557;4.2191;4.3474;3;1;1;50;125;T;0.018274;
28061;15.391;15.86;3;0.85;0.75;50;50;T;0.018282;
24810;6.3323;6.5249;1;1.2;0.5;30;30;T;0.018284;
30609;9.1028;9.3798;4;1.2;0.25;50;50;T;0.018287;
24121;2.9233;3.0123;1;0.85;0.75;30;10;T;0.018294;
23984;6.389;6.5834;1;0.85;0.25;125;30;T;0.018309;
31994;6.416;6.6113;5;0.85;0.75;75;30;T;0.018332;
32358;8.0203;8.2643;5;1;0.75;30;30;T;0.018352;
25855;5.2181;5.3768;2;0.5;1;125;125;T;0.018363;
24603;2.4559;2.5306;1;1;1;10;75;T;0.018364;
32137;5.1239;5.2798;5;0.85;1;150;75;T;0.018365;
33693;7.1724;7.3907;6;0.5;1;125;100;T;0.018373;
25961;12.288;12.662;2;0.85;0.25;150;50;T;0.018384;
30820;8.668;8.9317;4;1.2;0.75;75;50;T;0.018387;
25453;7.4141;7.6397;1;1.5;1;100;150;T;0.018395;
30982;3.0905;3.1845;4;1.5;0.25;30;10;T;0.018408;
25383;2.7466;2.8302;1;1.5;1;10;30;T;0.018412;
28175;5.7997;5.9761;3;0.85;1;75;75;T;0.01844;
33510;12.101;12.469;6;0.5;0.5;150;75;T;0.01846;
34159;3.2729;3.3724;6;1;0.25;100;10;T;0.01847;
34406;2.4031;2.4763;6;1;1;10;100;T;0.018489;
34792;3.0782;3.1718;6;1.2;1;10;30;T;0.018495;
32045;2.7546;2.8384;5;0.85;1;10;10;T;0.018528;
31605;13.277;13.681;5;0.5;0.75;75;75;T;0.018531;
26582;2.8934;2.9815;2;1;1;30;100;T;0.018537;
25600;7.4322;7.6584;2;0.5;0.5;30;75;T;0.018546;
30255;6.9125;7.1228;4;1;0.25;125;30;T;0.018571;
27658;6.0064;6.1891;3;0.5;0.75;30;75;T;0.018572;
29486;6.0181;6.2012;4;0.5;0.25;150;30;T;0.018573;
25054;6.3392;6.5321;1;1.2;1;100;75;T;0.018575;
26364;6.2616;6.4521;2;1;0.5;10;30;T;0.018575;
25721;5.0012;5.1533;2;0.5;0.75;75;30;T;0.018583;
27067;9.1299;9.4077;2;1.5;0.25;30;50;T;0.018604;
31603;9.2376;9.5187;5;0.5;0.75;75;50;T;0.018635;
32499;3.1649;3.2612;5;1;1;100;50;T;0.018663;
33811;4.571;4.7101;6;0.85;0.5;10;30;T;0.018665;
34791;2.7603;2.8443;6;1.2;1;10;30;T;0.018666;
25749;6.7801;6.9864;2;0.5;0.75;125;30;T;0.018694;
30789;4.8243;4.971;4;1.2;0.75;30;30;T;0.018694;
