i;dDE / dP;distance;type;parentWeight;crossover;population;iterations;distance;weights ->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;13.797;283.49;3;1;0.25;75;175;Euclidean(Average);3.0866E-012;1.0734E-013;4.7908E-012;2.2386E-013;2.9508E-012;3.1822E-012;1;1.8455E-013;5.5694E-013;5.3082E-013;2.956E-012;2.6542E-012;7.7739E-014;1.3961E-012;5.1243E-014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;13.797;283.49;3;1;0.25;75;175;Euclidean(Average);3.9944E-014;8.3252E-014;5.483E-014;3.4882E-014;1.0676E-012;8.8107E-014;1;1.0426E-014;1.6799E-012;5.8155E-013;1.1629E-013;1.0217E-012;1.9143E-012;2.508E-013;5.3267E-014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;13.797;283.49;3;1;0.25;75;175;Euclidean(Average);1.4064E-014;5.7099E-015;9.9539E-014;1.9437E-013;1.2484E-014;1.6721E-014;1;5.8452E-013;3.594E-014;7.171E-015;6.2165E-015;2.2023E-013;2.0852E-013;4.0024E-013;2.2642E-013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;13.797;283.49;3;1;0.25;75;175;Euclidean(Average);9.642E-014;6.1457E-014;3.8927E-014;1.6115E-014;6.2927E-014;1.8366E-013;1;4.8041E-014;5.5912E-014;1.1939E-015;1.1444E-013;1.9518E-015;3.6101E-014;2.1819E-014;1.76E-013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;13.797;283.49;3;1;0.25;75;175;Euclidean(Average);3.1552E-015;2.9463E-014;2.9929E-015;2.5092E-014;1.8085E-013;7.0384E-016;1;7.8008E-015;1.2472E-014;3.5171E-014;1.075E-014;5.0657E-014;1.1025E-013;4.3182E-014;5.989E-015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;13.797;283.49;3;1;0.25;150;175;Euclidean(Average);9.1577E-015;1.452E-014;7.663E-016;1.9768E-015;7.31E-014;6.038E-016;1;1.2254E-014;2.9755E-014;2.7842E-014;8.5144E-015;3.789E-014;9.8468E-014;3.0927E-014;2.6783E-014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;13.797;283.49;3;1;0.25;150;175;Euclidean(Average);6.9118E-015;1.816E-017;3.4373E-015;4.4546E-017;9.1189E-016;3.1241E-017;1;2.2281E-015;7.5222E-015;2.2803E-015;1.2239E-014;1.1329E-014;4.5923E-015;3.367E-016;1.6197E-016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;13.797;283.49;3;1;0.25;150;175;Euclidean(Average);2.4517E-014;9.4154E-015;4.2323E-017;4.5084E-014;7.3808E-015;7.3107E-014;1;1.0969E-015;2.4777E-016;2.2068E-014;1.7459E-015;7.8892E-014;2.1666E-014;8.9884E-015;1.6958E-014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;13.797;283.49;3;1;0.25;150;175;Euclidean(Average);9.3884E-016;2.4622E-016;8.526E-014;2.5044E-016;5.4805E-014;1.8653E-014;1;1.3506E-016;1.3886E-015;1.9653E-014;3.3852E-014;7.826E-015;1.5458E-015;6.1187E-015;6.6711E-014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;13.797;283.49;3;1;0.25;150;175;Euclidean(Average);4.9348E-015;2.5858E-015;1.7648E-015;5.8774E-015;1.1915E-015;1.4534E-016;1;5.2557E-015;5.0082E-017;2.4108E-015;3.7903E-015;7.3187E-016;1.1252E-015;2.1893E-015;1.6125E-015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
